,Date of sale,Address,Price,No. rooms,Living area,Plot size
1028, 5 juli 2021,Kållstorp 125, 2750000kr,6rum,"('67', '66')",1223m² 
1029, 3 juli 2021,Munkegärdegatan 31, 3525000kr,4rum,"('88', '49')",1214m² 
1030, 29 juni 2021,Solvagnsgatan 28, 5750000kr,6rum,"('103', '130')",769m² 
1031, 28 juni 2021,Kärrhed 240, 7100000kr,5rum,"('223', '25')",1577m² 
1032, 24 juni 2021,Sköldgatan 5, 4700000kr,5rum,"('115', '')",903m² 
1033, 24 juni 2021,Signehög 210, 2600000kr,2rum,"('42', '3')",1203m² 
1034, 22 juni 2021,Hallsbrovägen 3, 2900000kr,5rum,"('126', '')",1036m² 
1035, 22 juni 2021,Lökebergsvägen 41, 4600000kr,3rum,"('120', '')",176m² 
1036, 21 juni 2021,Domsvägen 3, 3600000kr,7rum,"('63', '')",978m² 
1037, 21 juni 2021,Plogvägen 180, 5000000kr,5rum,"('36', '')",2393m² 
1038, 19 juni 2021,Onyxvägen 19, 6500000kr,6rum,"('109', '109')",938m² 
1039, 18 juni 2021,Lingonvägen 38, 4100000kr,7rum,"('210', '86')",1138m² 
1040, 18 juni 2021,Djupuddsvägen 20, 4300000kr,7rum,"('45', '40')",728m² 
1041, 17 juni 2021,Kastellegårdsgatan 47, 6900000kr,6rum,"('104', '')",290m² 
1042, 15 juni 2021,Rosenstensvägen 41, 5050000kr,3rum,"('130', '130')",1750m² 
1043, 15 juni 2021,Ryr 580, 4750000kr,2rum,"('40', '')",1511m² 
1044, 14 juni 2021,Solrosvägen 12, 4900000kr,3rum,"('152', '52')",1236m² 
1045, 11 juni 2021,Åkerhög 310, 3900000kr,6rum,"('86', '')",1264m² 
1046, 11 juni 2021,Mosse 870, 4900000kr,6rum,"('150', '15')",781m² 
1047, 11 juni 2021,Rörtången 126, 1825000kr,6rum,"('122', '')",2963m² 
1048, 10 juni 2021,Strandväg 14, 5025000kr,6rum,"('104', '')",1556m² 
1049, 9 juni 2021,Tegskiftegatan 20, 6250000kr,4rum,"('56', '')",3147m² 
1050, 26 maj 2017,Långgatan 8, 2395000kr,7rum,"('127', '')",2130m² 
1051, 25 maj 2017,Instölid 40, 3400000kr,4rum,"('43', '')",795m² 
1052, 25 maj 2017,Åsebyberg 847, 5710000kr,4rum,"('217', '26')",1089m² 
1053, 25 maj 2017,Bremnäs 305, 2450000kr,4rum,"('95', '65')",1353m² 
1054, 19 maj 2017,Tröskvägen 256, 5400000kr,5rum,"('150', '')",1256m² 
1055, 17 maj 2017,Stenstavägen 21, 3470000kr,7rum,"('220', '')",498m² 
1056, 16 maj 2017,Rombacka 180, 5300000kr,5rum,"('120', '100')",531m² 
1057, 15 maj 2017,Lefstad 110, 4800000kr,7rum,"('154', '16')",882m² 
1058, 14 maj 2017,Gunneröd 290, 3300000kr,8rum,"('56', '36')",630m² 
1059, 12 maj 2017,Duvesjön 228, 3240000kr,5rum,"('58', '')",527m² 
1060, 12 maj 2017,Violgatan 7, 4635000kr,4rum,"('62', '')",785m² 
1061, 10 maj 2017,Instölid 65, 1750000kr,5rum,"('150', '')",1184m² 
1062, 10 maj 2017,Rörtången 103, 4650000kr,7rum,"('127', '10')",1243m² 
1063, 8 maj 2017,Nereby 360, 4550000kr,6rum,"('193', '')",440m² 
1064, 5 maj 2017,Skår 260, 5700000kr,6rum,"('172', '')",1517m² 
1065, 5 maj 2017,Mariebergsvägen 130, 7000000kr,5rum,"('125', '9')",721m² 
1066, 4 maj 2017,Lerlycke 240, 4295000kr,5rum,"('135', '40')",776m² 
1067, 2 maj 2017,Rörtången 295, 5600000kr,9rum,"('90', '17')",1922m² 
1068, 1 maj 2017,Dannemarksgatan 45, 2650000kr,9rum,"('142', '')",1234m² 
1069, 29 april 2017,Väg 11, 2360000kr,6rum,"('118', '7')",258m² 
1070, 27 april 2017,Briljantvägen 9, 1840000kr,6rum,"('98', '58')",357m² 
1071, 27 april 2017,Rörmossevägen 180, 4350000kr,6rum,"('187', '')",304m² 
1072, 26 april 2017,Hammar 565, 4250000kr,4rum,"('126', '')",906m² 
1073, 26 april 2017,Byvägen 33, 5360000kr,4rum,"('173', '')",402m² 
1074, 25 april 2017,Sundviksvägen 36, 8200000kr,6rum,"('156', '')",1494m² 
1075, 25 april 2017,Kungälvsvägen 51, 4500000kr,2rum,"('107', '')",1119m² 
1076, 16 april 2017,Norrmannebo 540, 6500000kr,5rum,"('104', '7')",1214m² 
1077, 16 april 2017,Hallebäcksvägen 18, 3600000kr,6rum,"('122', '')",659m² 
1078, 10 april 2017,Gråstensvägen 11, 4250000kr,2rum,"('115', '137')",6109m² 
1079, 7 april 2017,Guntorpsvägen 24, 4600000kr,2rum,"('137', '')",2125m² 
1080, 7 april 2017,Västerängen 5, 2990000kr,6rum,"('178', '')",1205m² 
1081, 30 mars 2017,Munkegärdegatan 339, 5150000kr,3rum,"('138', '')",1345m² 
1082, 30 mars 2017,Holm 230, 4700000kr,7rum,"('85', '')",12437m² 
1083, 24 mars 2017,Opalvägen 10, 5095000kr,5rum,"('145', '125')",239m² 
1084, 24 mars 2017,Ön 170, 4600000kr,3rum,"('148', '18')",441m² 
1085, 17 mars 2017,Bräcke 106, 4050000kr,4rum,"('138', '24')",2760m² 
1086, 16 mars 2017,Solrosvägen 7, 4000000kr,3rum,"('140', '19')",437m² 
1087, 16 mars 2017,Broberg 190, 4700000kr,6rum,"('190', '')",945m² 
1088, 15 mars 2017,Prejelvägen 120, 5325000kr,8rum,"('70', '')",1801m² 
1089, 11 mars 2017,Matskärsvägen 2, 3700000kr,6rum,"('118', '')",1511m² 
1090, 8 mars 2017,Dannemarksgatan 42, 5750000kr,3rum,"('164', '12')",921m² 
1091, 7 mars 2017,Spaghamnsvägen 15, 2900000kr,5rum,"('48', '')",338m² 
1092, 4 mars 2017,Fjellsholmen 6, 3700000kr,5rum,"('137', '8')",1418m² 
1093, 3 mars 2017,Ulvesund 438, 6550000kr,4rum,"('142', '')",557m² 
1094, 2 mars 2017,Hallbjörtorp 200, 4460000kr,5rum,"('60', '')",428m² 
1095, 2 mars 2017,Settungsvägen 44, 4200000kr,3rum,"('44', '6')",1438m² 
1096, 24 februari 2017,Skurhagagatan 4, 3550000kr,11rum,"('157', '99')",938m² 
1097, 24 februari 2017,Rörmossevägen 130, 3510000kr,4rum,"('106', '5')",193m² 
1098, 22 februari 2017,Törnrosgatan 10, 3250000kr,4rum,"('75', '')",1026m² 
1099, 22 februari 2017,Vävra 542, 3870000kr,4rum,"('155', '')",1012m² 
1100, 8 oktober 2016,Vallby 110, 4725000kr,6rum,"('127', '')",818m² 
1101, 7 oktober 2016,Olsåker 200, 2100000kr,6rum,"('112', '')",600m² 
1102, 5 oktober 2016,Enekullsvägen 6, 4400000kr,2rum,"('116', '50')",1500m² 
1103, 30 september 2016,Åsebyberg 655, 3100000kr,7rum,"('135', '')",3073m² 
1104, 29 september 2016,Ljungvägen 40, 1150000kr,8rum,"('62', '22')",1638m² 
1105, 29 september 2016,Bergkristallvägen 18, 2550000kr,4rum,"('158', '4')",1075m² 
1106, 29 september 2016,Solberga 870, 4850000kr,5rum,"('135', '96')",969m² 
1107, 25 september 2016,Kuskalundsvägen 35, 4300000kr,7rum,"('5', '')",1380m² 
1108, 23 september 2016,Trankärr 170, 3250000kr,4rum,"('65', '')",318m² 
1109, 23 september 2016,Granndalen 13, 4750000kr,5rum,"('147', '50')",1010m² 
1110, 17 september 2016,Grindklykan 9, 4560000kr,6rum,"('170', '20')",1163m² 
1111, 14 september 2016,Täljstensgatan 4, 3500000kr,2rum,"('164', '')",1979m² 
1112, 13 september 2016,Duvesjön 357, 3425000kr,10rum,"('102', '102')",440m² 
1113, 10 september 2016,Kulperödsvägen 39, 2800000kr,3rum,"('51', '20')",2006m² 
1114, 9 september 2016,Topasvägen 13, 2730000kr,4rum,"('244', '50')",1223m² 
1115, 2 september 2016,Råckeröd 180, 2840000kr,5rum,"('70', '')",2031m² 
1116, 1 september 2016,Enebacksvägen 10, 3325000kr,6rum,"('120', '15')",1046m² 
1117, 30 augusti 2016,Lerskärsvägen 11, 4700000kr,5rum,"('115', '')",2630m² 
1118, 28 augusti 2016,Jägersberg 350, 2050000kr,6rum,"('149', '9')",2125m² 
1119, 26 augusti 2016,Fjellsholmen 16, 4000000kr,4rum,"('144', '')",1150m² 
1120, 25 augusti 2016,Häradsvägen 92, 8700000kr,3rum,"('140', '58')",588m² 
1121, 24 augusti 2016,Slottsgatan 11, 5700000kr,5rum,"('53', '7')",1012m² 
1122, 20 augusti 2016,Duvesjön 359, 3550000kr,4rum,"('254', '42')",1015m² 
1123, 18 augusti 2016,Dalvägen 17, 3025000kr,5rum,"('182', '')",1149m² 
1124, 15 augusti 2016,Bergkristallvägen 25, 11250000kr,3rum,"('132', '39')",785m² 
1125, 14 augusti 2016,Guddeby 172, 3500000kr,8rum,"('121', '37')",2100m² 
1126, 12 augusti 2016,Kornhall 210, 3300000kr,6rum,"('139', '36')",12665m² 
1127, 8 augusti 2016,Olserödsgatan 32, 4000000kr,6rum,"('60', '')",1795m² 
1128, 28 juli 2016,Nolhagsvägen 22, 5355000kr,5rum,"('162', '62')",1072m² 
1129, 27 juli 2016,Solberga 510, 4200000kr,7rum,"('120', '40')",1155m² 
1130, 25 juli 2016,Grindbacken 17, 6000000kr,5rum,"('31', '')",350m² 
1131, 20 juli 2016,Nämndemansvägen 25, 1075000kr,5rum,"('230', '41')",1827m² 
1132, 18 juli 2016,Harkeröd 380, 2900000kr,4rum,"('129', '44')",2210m² 
1133, 15 juli 2016,Briljantvägen 23, 2600000kr,5rum,"('90', '15')",1871m² 
1134, 15 juli 2016,Överås 110, 2300000kr,4rum,"('140', '')",533m² 
1135, 13 juli 2016,Glose 660, 3400000kr,4rum,"('148', '')",215m² 
1136, 11 juli 2016,Klockarvägen 4, 4200000kr,6rum,"('125', '')",4495m² 
1137, 10 juli 2016,Hagtornsvägen 7, 3320000kr,3rum,"('110', '135')",1336m² 
1138, 8 juli 2016,Stenåldersgatan 52, 7250000kr,4rum,"('160', '')",1628m² 
1139, 6 juli 2016,Diamantvägen 36, 3100000kr,5rum,"('58', '')",1065m² 
1140, 6 juli 2016,Hammar 350, 250000kr,3rum,"('117', '')",1046m² 
1141, 5 juli 2016,Munkegärdegatan 21, 5520000kr,5rum,"('89', '')",659m² 
1142, 5 juli 2016,Häljeröd 130, 4420000kr,5rum,"('115', '55')",2861m² 
