,Date of sale,Address,Price,No. rooms,Living area,Plot size
1260, 13 augusti 2019,Dösebacka 110, 4100000kr,5rum,"('160', '10')",535m² 
1261, 12 augusti 2019,Lerskärsvägen 18, 4325000kr,5rum,"('98', '55')",1885m² 
1262, 2 augusti 2019,Flateby 180, 5455000kr,5rum,"('66', '63')",1449m² 
1263, 1 augusti 2019,Bräcke 330, 4680000kr,4rum,"('57', '')",2738m² 
1264, 1 augusti 2019,Oskarsbergsgatan 10, 3500000kr,4rum,"('179', '21')",1030m² 
1265, 20 juli 2019,Safirvägen 1, 5000000kr,3rum,"('196', '')",574m² 
1266, 18 juli 2019,Strömgatan 6, 4893000kr,5rum,"('126', '32')",1204m² 
1267, 16 juli 2019,Bollestad 140, 6500000kr,4rum,"('107', '')",767m² 
1268, 12 juli 2019,Domsvägen 8, 1870000kr,3rum,"('163', '160')",924m² 
1269, 11 juli 2019,Risby 380, 2970000kr,6rum,"('102', '102')",1172m² 
1270, 9 juli 2019,Solvagnsgatan 16, 4800000kr,5rum,"('95', '55')",955m² 
1271, 5 juli 2019,Kyrkeby 340, 3495000kr,8rum,"('63', '')",2156m² 
1272, 5 juli 2019,Lievägen 242, 2900000kr,5rum,"('170', '73')",3500m² 
1273, 5 juli 2019,Kungälvsvägen 22, 3350000kr,3rum,"('146', '62')",1661m² 
1274, 3 juli 2019,Årsnäs 460, 2250000kr,5rum,"('94', '47')",1132m² 
1275, 3 juli 2019,Dammkärrsvägen 1, 1600000kr,4rum,"('7', '15')",833m² 
1276, 2 juli 2019,Hammarhöjden 690, 4650000kr,2rum,"('145', '')",1421m² 
1277, 1 juli 2019,Slottsgatan 6, 4750000kr,4rum,"('127', '71')",862m² 
1278, 28 juni 2019,Högsberg 360, 3825000kr,3rum,"('95', '35')",1587m² 
1279, 27 juni 2019,Lefstad 190, 1700000kr,4rum,"('65', '10')",1527m² 
1280, 26 juni 2019,Bredsten 118, 5200000kr,4rum,"('201', '')",1655m² 
1281, 25 juni 2019,Hanekullen 210, 4620000kr,5rum,"('49', '')",365m² 
1282, 23 juni 2019,Länsmansvägen 2, 2810000kr,5rum,"('127', '51')",1450m² 
1283, 20 juni 2019,Marieberg 220, 2900000kr,4rum,"('80', '80')",1720m² 
1284, 20 juni 2019,Sörgårdsvägen 510, 5575000kr,6rum,"('90', '')",3342m² 
1285, 20 juni 2019,Sörgårdsvägen 530, 3800000kr,5rum,"('6', '')",1244m² 
1286, 20 juni 2019,Husfrejagatan 4, 4750000kr,6rum,"('90', '15')",1631m² 
1287, 19 juni 2019,Bredsten 330, 3000000kr,4rum,"('99', '')",387m² 
1288, 19 juni 2019,Korpvägen 277, 5100000kr,5rum,"('123', '77')",696m² 
1289, 15 juni 2019,Kvarnvägen 22, 3200000kr,8rum,"('105', '91')",47500m² 
1290, 14 juni 2019,Korpvägen 265, 3300000kr,4rum,"('58', '7')",395m² 
1291, 14 juni 2019,Bagaregatan 15, 2350000kr,4rum,"('158', '18')",1118m² 
1292, 13 juni 2019,Västerhöjdsvägen 14, 4000000kr,5rum,"('130', '65')",259m² 
1293, 12 juni 2019,Madängsgatan 13, 1700000kr,2rum,"('211', '')",4156m² 
1294, 11 juni 2019,Gråstensvägen 37, 4707000kr,4rum,"('120', '15')",1943m² 
1295, 10 juni 2019,Klövergången 15, 4850000kr,5rum,"('101', '')",1797m² 
1296, 7 juni 2019,Hammarberg 885, 4490000kr,7rum,"('123', '')",1290m² 
1297, 7 juni 2019,Kållen 130, 4750000kr,4rum,"('145', '')",349m² 
1298, 5 juni 2019,Vämneröd 120, 4250000kr,5rum,"('111', '')",1113m² 
1299, 4 juni 2019,Duvesjön 344, 4050000kr,6rum,"('94', '')",388m² 
1300, 29 september 2022,Otterlyckevägen 13, 2100000kr,6rum,"('85', '')",1259m² 
1301, 29 september 2022,Kyrkogatan 15, 4750000kr,5rum,"('98', '2')",1097m² 
1302, 28 september 2022,Björröd 310, 5100000kr,5rum,"('122', '')",186m² 
1303, 27 september 2022,Hallsbergsvägen 14, 3075000kr,7rum,"('103', '')",1718m² 
1304, 24 september 2022,Ekelöv 155, 6500000kr,3rum,"('121', '29')",1123m² 
1305, 22 september 2022,Kungälvsvägen 73, 3650000kr,5rum,"('128', '')",1207m² 
1306, 19 september 2022,Vämneröd 140, 7750000kr,5rum,"('126', '')",1915m² 
1307, 17 september 2022,Stenåldersgatan 36, 5200000kr,2rum,"('93', '32')",1385m² 
1308, 12 september 2022,Röd 340, 4150000kr,3rum,"('138', '')",494m² 
1309, 11 september 2022,Byvägen 59, 5100000kr,5rum,"('75', '')",629m² 
1310, 10 september 2022,Enskiftegatan 17, 3300000kr,5rum,"('161', '174')",3183m² 
1311, 9 september 2022,Häroldsgatan 5, 2550000kr,10rum,"('106', '49')",226m² 
1312, 8 september 2022,Långåkersgatan 6, 4050000kr,4rum,"('116', '30')",3512m² 
1313, 8 september 2022,Västerhöjdsvägen 111, 3195000kr,6rum,"('161', '47')",2733m² 
1314, 6 september 2022,Valtersäng 11, 8500000kr,5rum,"('65', '')",1615m² 
1315, 4 september 2022,Skvaltvägen 3, 5050000kr,6rum,"('90', '')",1078m² 
1316, 1 september 2022,Trätäljagatan 7, 3800000kr,4rum,"('123', '')",875m² 
1317, 1 september 2022,Snäckvägen 16, 5710000kr,5rum,"('120', '120')",437m² 
1318, 1 september 2022,Hemvägen 21, 5200000kr,5rum,"('99', '')",2567m² 
1319, 31 augusti 2022,Ödsmål 540, 4900000kr,5rum,"('110', '5')",1810m² 
1320, 31 augusti 2022,Lagvägen 17, 4200000kr,6rum,"('74', '68')",1527m² 
1321, 29 augusti 2022,Mariebergsliden 5, 4200000kr,5rum,"('155', '42')",1380m² 
1322, 29 augusti 2022,Älvängen 180, 1650000kr,5rum,"('105', '33')",569m² 
1323, 27 augusti 2022,Mossvägen 24, 5100000kr,6rum,"('169', '')",783m² 
1324, 27 augusti 2022,Galeasgatan 6, 5735000kr,7rum,"('170', '60')",8133m² 
1325, 26 augusti 2022,Stenåldersgatan 50, 5520000kr,5rum,"('45', '')",881m² 
1326, 24 augusti 2022,Munkegärdegatan  310, 9200000kr,5rum,"('102', '55')",2120m² 
1327, 21 augusti 2022,Ryr 310, 7300000kr,3rum,"('115', '')",852m² 
1328, 19 augusti 2022,Mårdgatan 11, 4100000kr,3rum,"('88', '15')",486m² 
1329, 12 augusti 2022,Ulvebackegatan 3, 2050000kr,3rum,"('118', '')",5634m² 
1330, 11 augusti 2022,Plogvägen 187, 5100000kr,6rum,"('130', '')",1216m² 
1331, 4 augusti 2022,Galärgatan 1, 4600000kr,3rum,"('179', '')",393m² 
1332, 4 augusti 2022,Korpedalsvägen 13, 2600000kr,3rum,"('325', '81')",5476m² 
1333, 20 juli 2022,Grindstolpen 21, 6775000kr,6rum,"('104', '')",1188m² 
1334, 18 juli 2022,Hanekullen 200, 4500000kr,5rum,"('144', '79')",784m² 
1335, 15 juli 2022,Fontinvägen 13, 5100000kr,7rum,"('65', '65')",753m² 
1336, 15 juli 2022,Kyrkeby 300, 3750000kr,5rum,"('119', '98')",1169m² 
1337, 13 juli 2022,Parkgatan 21, 8800000kr,9rum,"('85', '')",19720m² 
1338, 10 juli 2022,Bäckgatan 38, 6525000kr,5rum,"('157', '')",1184m² 
1339, 9 juli 2022,Lundby 380, 2500000kr,7rum,"('131', '')",963m² 
1340, 5 juli 2022,Nygatan 36, 4650000kr,6rum,"('98', '71')",771m² 
1341, 3 juli 2022,Hammarberg 840, 3850000kr,5rum,"('110', '5')",5010m² 
1342, 28 juni 2022,Duvesjön 360, 3995000kr,5rum,"('160', '')",236m² 
1343, 28 juni 2022,Vallgatan 3, 3680000kr,5rum,"('75', '55')",1548m² 
1344, 27 juni 2022,Vallby 210, 5050000kr,6rum,"('165', '12')",2393m² 
1345, 27 juni 2022,Dotorp 470, 5800000kr,5rum,"('188', '')",1078m² 
1346, 27 juni 2022,Bremnäs 400, 10500000kr,7rum,"('122', '5')",1141m² 
1347, 25 juni 2022,Hammarhöjden 680, 3275000kr,4rum,"('112', '')",340m² 
1348, 23 juni 2022,Stenhålt 124, 5780000kr,4rum,"('40', '')",2242m² 
1349, 22 juni 2022,Veneröd 430, 3995000kr,3rum,"('84', '')",1906m² 
1350, 3 juli 2015,Poppelvägen 1, 11000000kr,5rum,"('76', '')",1570m² 
1351, 1 juli 2015,Hammarhöjden 695, 3400000kr,3rum,"('126', '14')",1892m² 
1352, 30 juni 2015,Grindklykan 7, 1700000kr,4rum,"('72', '65')",1753m² 
1353, 29 juni 2015,Oxelvägen 24, 3200000kr,4rum,"('65', '68')",1541m² 
1354, 27 juni 2015,Granliden 9, 2700000kr,6rum,"('147', '')",1930m² 
1355, 26 juni 2015,Dalen 150, 3100000kr,6rum,"('148', '30')",1337m² 
1356, 24 juni 2015,Hamngatan 1, 3200000kr,4rum,"('195', '195')",938m² 
1357, 23 juni 2015,Kaprifolvägen 6, 3200000kr,6rum,"('183', '12')",3224m² 
1358, 17 juni 2015,Mycklaborgsgatan 5, 2200000kr,5rum,"('200', '45')",518m² 
1359, 16 juni 2015,Högsberg 320, 5275000kr,4rum,"('139', '')",1318m² 
1360, 16 juni 2015,Hövdingagatan 1, 3700000kr,4rum,"('127', '174')",401m² 
1361, 14 juni 2015,Häljeröd 260, 3970000kr,6rum,"('180', '')",735m² 
1362, 14 juni 2015,Kuskalundsvägen 33, 3250000kr,4rum,"('134', '')",369m² 
1363, 13 juni 2015,Mosse 600, 2300000kr,5rum,"('68', '68')",740m² 
1364, 12 juni 2015,Mycklaborgsgatan 6, 2700000kr,7rum,"('133', '26')",1374m² 
1365, 10 juni 2015,Oxelvägen 12, 1600000kr,5rum,"('191', '')",401m² 
1366, 5 juni 2015,Hällristningsgatan 6, 8000000kr,5rum,"('2', '')",1195m² 
1367, 4 juni 2015,Poppelvägen 4, 2500000kr,4rum,"('154', '15')",3756m² 
1368, 4 juni 2015,Station 500, 1975000kr,8rum,"('5', '')",2283m² 
1369, 3 juni 2015,Staby 200, 4725000kr,7rum,"('125', '')",1136m² 
1370, 3 juni 2015,Vena 295, 4150000kr,2rum,"('67', '')",975m² 
1371, 31 maj 2015,Guddeby 272, 4200000kr,4rum,"('111', '53')",367m² 
1372, 29 maj 2015,Grepvägen 397, 3500000kr,4rum,"('54', '')",1514m² 
1373, 29 maj 2015,Station 560, 3660000kr,5rum,"('120', '50')",576m² 
1374, 29 maj 2015,Konvaljgatan 13, 3350000kr,7rum,"('115', '')",2761m² 
1375, 29 maj 2015,Broberg 130, 3675000kr,4rum,"('115', '25')",1469m² 
1376, 28 maj 2015,Strömgatan 10, 2650000kr,3rum,"('172', '')",2639m² 
1377, 27 maj 2015,Hövdingagatan 5, 4730000kr,3rum,"('100', '')",349m² 
1378, 23 maj 2015,Briljantvägen 11, 2800000kr,5rum,"('140', '66')",1472m² 
1379, 22 maj 2015,Hallsbergsvägen 6, 4750000kr,6rum,"('93', '51')",1791m² 
1380, 20 maj 2015,Hallbjörtorp 290, 4525000kr,5rum,"('133', '')",990m² 
1381, 19 maj 2015,Skvaltvägen 3, 950000kr,5rum,"('122', '')",799m² 
1382, 19 maj 2015,Västerhöjdsvägen 8, 3995000kr,4rum,"('117', '66')",733m² 
1383, 18 maj 2015,Arödsvägen 40, 3420000kr,5rum,"('104', '20')",423m² 
1384, 18 maj 2015,Östergårdsgatan 12, 3350000kr,4rum,"('145', '')",808m² 
1385, 13 maj 2015,Åseby 400, 1850000kr,2rum,"('141', '')",1352m² 
1386, 8 maj 2015,Täljstensgatan 2, 2775000kr,3rum,"('140', '36')",1037m² 
1387, 6 maj 2015,Parken 110, 1595000kr,4rum,"('103', '')",1801m² 
1388, 1 maj 2015,Diserödsvägen 15, 3325000kr,4rum,"('162', '')",384m² 
1389, 30 april 2015,Gunneröd 460, 3300000kr,6rum,"('180', '145')",916m² 
1390, 30 april 2015,Storskiftegatan 100, 10000000kr,7rum,"('142', '142')",597m² 
1391, 29 april 2015,Rökgatan 9, 3510000kr,7rum,"('62', '')",589m² 
1392, 29 april 2015,Diamantvägen 52, 2880000kr,2rum,"('108', '32')",1631m² 
1393, 27 april 2015,Väderhattsgatan 3, 3395000kr,4rum,"('65', '31')",1068m² 
1394, 23 april 2015,Skårpedal 160, 3525000kr,3rum,"('164', '')",296m² 
1395, 18 april 2015,Kaprifolvägen 6, 4100000kr,4rum,"('277', '91')",221m² 
1396, 16 april 2015,Vävra 495, 3950000kr,5rum,"('75', '58')",622m² 
1397, 16 april 2015,Oxelvägen 40, 2150000kr,3rum,"('72', '')",1239m² 
1398, 16 april 2015,Ulvebackegatan 6, 2900000kr,4rum,"('100', '')",367m² 
1399, 16 april 2015,Häljeröd 190, 3700000kr,4rum,"('110', '')",927m² 
1400, 26 januari 2022,Kornhall 210, 5700000kr,5rum,"('146', '')",406m² 
1401, 25 januari 2022,Tröskvägen 270, 7000000kr,7rum,"('106', '55')",762m² 
1402, 24 januari 2022,Glöskär 300, 2500000kr,4rum,"('166', '12')",1179m² 
1403, 22 januari 2022,Västerängen 17, 6150000kr,5rum,"('129', '44')",1673m² 
1404, 21 januari 2022,Solhultsgatan 20, 5975000kr,3rum,"('122', '6')",1167m² 
1405, 19 januari 2022,Prästbol 165, 7550000kr,4rum,"('104', '4')",1402m² 
1406, 18 januari 2022,Toftåsen 10, 3144000kr,6rum,"('47', '40')",592m² 
1407, 18 januari 2022,Häljeröd 120, 4050000kr,5rum,"('1', '')",607m² 
1408, 11 januari 2022,Ellesbovägen 204, 3850000kr,6rum,"('114', '')",1792m² 
1409, 8 januari 2022,Olserödsgatan 106, 5850000kr,5rum,"('120', '110')",1818m² 
1410, 7 januari 2022,Äslingsvägen 7, 10000000kr,6rum,"('114', '117')",146m² 
1411, 30 december 2021,Åsebyberg 855, 4150000kr,5rum,"('113', '76')",1893m² 
1412, 22 december 2021,Solvagnsgatan 30, 3500000kr,5rum,"('108', '60')",968m² 
1413, 21 december 2021,Guntorpsvägen 24, 4000000kr,2rum,"('53', '')",495m² 
1414, 14 december 2021,Lerlycke 250, 4900000kr,6rum,"('140', '')",1260m² 
1415, 9 december 2021,Olvonvägen 23, 6110000kr,5rum,"('118', '30')",18448m² 
1416, 8 december 2021,Bockebergsvägen 2, 3695000kr,4rum,"('82', '14')",24755m² 
1417, 7 december 2021,Lerskärsvägen 21, 6310000kr,4rum,"('6', '')",2562m² 
1418, 6 december 2021,Valtersäng 35, 4600000kr,7rum,"('65', '61')",1059m² 
1419, 3 december 2021,Råckeröd 200, 5600000kr,5rum,"('70', '')",1668m² 
1420, 3 december 2021,Kungälvsvägen 13, 3900000kr,4rum,"('127', '')",1376m² 
1421, 1 december 2021,Havregången 12, 2850000kr,6rum,"('130', '')",788m² 
1422, 30 november 2021,Lerskärsvägen 50, 3950000kr,8rum,"('100', '')",1053m² 
1423, 29 november 2021,Rubinvägen 6, 4200000kr,5rum,"('163', '')",392m² 
1424, 28 november 2021,Bastubäcksvägen 11, 6960500kr,5rum,"('92', '')",404m² 
1425, 26 november 2021,Glose 110, 4170000kr,8rum,"('138', '')",678m² 
1426, 25 november 2021,Bokvägen 3, 6100000kr,6rum,"('92', '')",1052m² 
1427, 25 november 2021,Livelycke 290, 6670000kr,7rum,"('114', '7')",6m² 
1428, 23 november 2021,Dalvägen 5, 2950000kr,5rum,"('139', '')",617m² 
1429, 18 november 2021,Grepvägen 403, 5200000kr,5rum,"('181', '25')",524m² 
1430, 17 november 2021,Vävra 380, 5900000kr,4rum,"('154', '')",664m² 
1431, 17 november 2021,Stenåldersgatan 11, 3420000kr,6rum,"('134', '31')",1114m² 
1432, 16 november 2021,Storskiftegatan 11, 4600000kr,5rum,"('136', '83')",1030m² 
1433, 15 november 2021,Vältvägen 505, 5800000kr,5rum,"('128', '')",909m² 
1434, 12 november 2021,Fjellsholmen 14, 2550000kr,5rum,"('140', '20')",1519m² 
1435, 12 november 2021,Hammarhöjden 695, 6495000kr,8rum,"('80', '32')",1622m² 
1436, 11 november 2021,Kärnavägen 16, 1725000kr,2rum,"('163', '160')",681m² 
1437, 10 november 2021,Klintegatan 17, 5800000kr,3rum,"('137', '99')",289m² 
1438, 10 november 2021,Stenåldersgatan 53, 3650000kr,5rum,"('83', '13')",258m² 
1439, 5 november 2021,Grepvägen 391, 5600000kr,5rum,"('104', '16')",800m² 
1440, 4 november 2021,Duvesjön 310, 3825000kr,3rum,"('228', '')",19677m² 
1441, 4 november 2021,Torsby 132, 4300000kr,8rum,"('109', '')",1032m² 
1442, 3 november 2021,Kristinedalsgatan 7, 3600000kr,7rum,"('103', '')",3152m² 
1443, 3 november 2021,Åsebyberg 745, 5095000kr,7rum,"('155', '34')",1552m² 
1444, 30 oktober 2021,Korpvägen 259, 4000000kr,3rum,"('200', '88')",424m² 
1445, 30 oktober 2021,Skeppsholmsgatan 2, 9550000kr,6rum,"('132', '72')",1269m² 
1446, 29 oktober 2021,Jägersberg 244, 5065000kr,5rum,"('154', '')",701m² 
1447, 28 oktober 2021,Hammarhöjden 670, 5600000kr,6rum,"('5', '')",2400m² 
1448, 27 oktober 2021,Saltskärsvägen 10, 6010000kr,8rum,"('148', '')",1071m² 
1449, 26 oktober 2021,Duvesjön 313, 4800000kr,5rum,"('115', '118')",641m² 
1450, 21 februari 2017,Byvägen 18, 3900000kr,5rum,"('115', '')",555m² 
1451, 18 februari 2017,Guntorpsvägen 2, 2650000kr,2rum,"('120', '')",3353m² 
1452, 16 februari 2017,Tjuvkil 510, 5400000kr,5rum,"('100', '')",1312m² 
1453, 16 februari 2017,Lundby 475, 2600000kr,5rum,"('170', '34')",1352m² 
1454, 15 februari 2017,Gunneröd 200, 3250000kr,5rum,"('153', '')",473m² 
1455, 13 februari 2017,Kulperödsvägen 17, 3750000kr,4rum,"('139', '10')",1584m² 
1456, 9 februari 2017,Sköldgatan 8, 5120000kr,5rum,"('75', '75')",1137m² 
1457, 9 februari 2017,Munkegärdegatan 279, 3455000kr,3rum,"('180', '145')",2523m² 
1458, 8 februari 2017,Önneröd 120, 3350000kr,6rum,"('2', '')",551m² 
1459, 8 februari 2017,Kyrkeby 293, 4000000kr,4rum,"('55', '')",344m² 
1460, 7 februari 2017,Harkeröd 305, 6200000kr,6rum,"('180', '55')",4160m² 
1461, 7 februari 2017,Lagvägen 23, 2562000kr,3rum,"('154', '5')",719m² 
1462, 6 februari 2017,Tegskiftegatan 84, 4850000kr,5rum,"('70', '')",1067m² 
1463, 3 februari 2017,Signehög 320, 4700000kr,5rum,"('214', '44')",782m² 
1464, 2 februari 2017,Guddehjälm 215, 5600000kr,5rum,"('157', '')",737m² 
1465, 26 januari 2017,Kärnavägen 4, 3500000kr,5rum,"('114', '105')",557m² 
1466, 26 januari 2017,Källeröd 166, 3750000kr,5rum,"('87', '45')",1069m² 
1467, 25 januari 2017,Korpedalsvägen 3, 4465000kr,5rum,"('135', '')",1643m² 
1468, 22 januari 2017,Hällristningsgatan 10, 3610000kr,5rum,"('71', '59')",524m² 
1469, 21 januari 2017,Kantorvägen 4, 4740000kr,5rum,"('156', '')",3273m² 
1470, 17 januari 2017,Gunneröd 320, 3800000kr,7rum,"('180', '81')",300m² 
1471, 12 januari 2017,Prästvägen 340, 3550000kr,4rum,"('122', '70')",1135m² 
1472, 4 januari 2017,Granndalen 13, 3300000kr,4rum,"('128', '')",4000m² 
1473, 16 december 2016,Stenåldersgatan 57, 3700000kr,6rum,"('34', '55')",570m² 
1474, 9 december 2016,Duvesjön 216, 3200000kr,5rum,"('109', '45')",557m² 
1475, 5 december 2016,Rostock 290, 2620000kr,6rum,"('135', '28')",1988m² 
1476, 2 december 2016,Långdammsvägen 2, 5460000kr,8rum,"('84', '79')",825m² 
1477, 29 november 2016,Munkegärdegatan 312, 4550000kr,5rum,"('80', '')",558m² 
1478, 28 november 2016,Bremnäs 130, 3000000kr,5rum,"('140', '')",2805m² 
1479, 22 november 2016,Bremnäs 155, 6450000kr,5rum,"('60', '')",1961m² 
1480, 18 november 2016,Skurhagagatan 3, 4510000kr,3rum,"('143', '37')",15148m² 
1481, 17 november 2016,Restad 165, 3825000kr,5rum,"('112', '46')",1062m² 
1482, 12 november 2016,Sundhammarsvägen 610, 2725000kr,8rum,"('171', '')",1227m² 
1483, 11 november 2016,Klevevägen 50, 4215000kr,6rum,"('70', '')",1285m² 
1484, 4 november 2016,Klockarvägen 11, 2950000kr,2rum,"('193', '')",4105m² 
1485, 2 november 2016,Hammarberg 830, 4200000kr,5rum,"('75', '48')",479m² 
1486, 1 november 2016,Jordliden 30, 6030000kr,2rum,"('170', '20')",1065m² 
1487, 27 oktober 2016,Grindklykan 9, 3530000kr,4rum,"('120', '')",1020m² 
1488, 27 oktober 2016,Hältorp 130, 3330000kr,4rum,"('129', '18')",1000m² 
1489, 26 oktober 2016,Häljeröd 430, 950000kr,5rum,"('138', '')",1386m² 
1490, 20 oktober 2016,Sjöhåla 130, 3460000kr,4rum,"('110', '100')",1299m² 
1491, 18 oktober 2016,Flädervägen 18, 4400000kr,3rum,"('130', '88')",650m² 
1492, 17 oktober 2016,Lundby 440, 3400000kr,7rum,"('222', '98')",1192m² 
1493, 17 oktober 2016,Lefstad 350, 2200000kr,7rum,"('49', '10')",316m² 
1494, 14 oktober 2016,Enskiftegatan 10, 5700000kr,5rum,"('120', '40')",1862m² 
1495, 13 oktober 2016,Mossvägen 38, 1400000kr,5rum,"('159', '40')",496m² 
1496, 13 oktober 2016,Lingången 16, 4550000kr,4rum,"('120', '')",1221m² 
1497, 12 oktober 2016,Jägersberg 310, 3830000kr,7rum,"('149', '21')",1123m² 
1498, 10 oktober 2016,Mossvägen 37, 5400000kr,6rum,"('176', '87')",1225m² 
1499, 8 oktober 2016,Prejelvägen 120, 2490000kr,4rum,"('125', '')",3157m² 
1500, 18 oktober 2018,Vältvägen 509, 6100000kr,6rum,"('93', '93')",781m² 
1501, 17 oktober 2018,Björröd 310, 3000000kr,6rum,"('108', '114')",2941m² 
1502, 15 oktober 2018,Kullholmsvägen 6, 6000000kr,5rum,"('78', '15')",1667m² 
1503, 12 oktober 2018,Kantorvägen 8, 4100000kr,3rum,"('150', '30')",526m² 
1504, 11 oktober 2018,Guddeby 174, 3850000kr,2rum,"('184', '128')",1514m² 
1505, 5 oktober 2018,Trollhättevägen 6, 5275000kr,2rum,"('163', '')",440m² 
1506, 4 oktober 2018,Lybeck 151, 2975000kr,3rum,"('36', '')",188m² 
1507, 3 oktober 2018,Furuvägen 8, 3700000kr,4rum,"('121', '')",250m² 
1508, 2 oktober 2018,Settungsvägen 48, 3600000kr,7rum,"('49', '')",418m² 
1509, 28 september 2018,Toftebergsvägen 2, 1850000kr,4rum,"('103', '')",1053m² 
1510, 27 september 2018,Skårshöjd 6, 4700000kr,5rum,"('90', '40')",695m² 
1511, 27 september 2018,Odlingsgatan 88, 6120000kr,2rum,"('121', '9')",704m² 
1512, 25 september 2018,Rishammarvägen 2, 3150000kr,6rum,"('86', '')",381m² 
1513, 25 september 2018,Lerlycke 210, 5500000kr,3rum,"('83', '28')",431m² 
1514, 24 september 2018,Fjellsholmen 11, 6800000kr,4rum,"('171', '83')",1454m² 
1515, 19 september 2018,Åsebyberg 655, 4000000kr,5rum,"('125', '51')",1731m² 
1516, 13 september 2018,Beryllvägen 11, 3750000kr,6rum,"('107', '')",857m² 
1517, 11 september 2018,Glöskär 390, 3650000kr,4rum,"('121', '7')",1776m² 
1518, 11 september 2018,Täljstensgatan 4, 3100000kr,4rum,"('101', '')",437m² 
1519, 10 september 2018,Glose 650, 4500000kr,5rum,"('169', '')",1070m² 
1520, 9 september 2018,Kantorvägen 3, 5350000kr,5rum,"('178', '85')",913m² 
1521, 8 september 2018,Holm 160, 3820000kr,8rum,"('110', '')",2003m² 
1522, 6 september 2018,Högsberg 355, 965000kr,7rum,"('139', '18')",1090m² 
1523, 5 september 2018,Signehög 240, 5250000kr,6rum,"('147', '')",3440m² 
1524, 5 september 2018,Munkegärdegatan 253, 2260000kr,5rum,"('121', '')",1191m² 
1525, 5 september 2018,Klintegatan 21, 3900000kr,4rum,"('120', '')",1509m² 
1526, 4 september 2018,Prästvägen 788, 3375000kr,5rum,"('100', '47')",734m² 
1527, 3 september 2018,Almvägen 19, 4800000kr,5rum,"('64', '')",2575m² 
1528, 31 augusti 2018,Oxelvägen 80, 6700000kr,7rum,"('87', '')",2024m² 
1529, 30 augusti 2018,Byvägen 42, 2750000kr,4rum,"('60', '42')",789m² 
1530, 30 augusti 2018,Källeröd 193, 4120000kr,5rum,"('129', '70')",2141m² 
1531, 30 augusti 2018,Ulvesund 415, 7350000kr,6rum,"('90', '98')",451m² 
1532, 30 augusti 2018,Bollestad 130, 4050000kr,6rum,"('141', '')",342m² 
1533, 29 augusti 2018,Klockarvägen 6, 4850000kr,8rum,"('58', '25')",3061m² 
1534, 29 augusti 2018,Västerhöjdsvägen 36, 2800000kr,6rum,"('133', '119')",1189m² 
1535, 29 augusti 2018,Sjöstigen 7, 4550000kr,6rum,"('96', '29')",818m² 
1536, 25 augusti 2018,Alekärr 125, 7125000kr,6rum,"('118', '')",757m² 
1537, 24 augusti 2018,Rörmossevägen 170, 1130000kr,6rum,"('133', '29')",1186m² 
1538, 24 augusti 2018,Kroken 210, 5500000kr,4rum,"('170', '')",1550m² 
1539, 17 augusti 2018,Restad 355, 4925000kr,6rum,"('110', '')",3639m² 
1540, 15 augusti 2018,Lönnvägen 1, 6300000kr,3rum,"('107', '7')",860m² 
1541, 10 augusti 2018,Hammarberg 900, 3850000kr,3rum,"('101', '146')",988m² 
1542, 9 augusti 2018,Brunnefjällsvägen 27, 3230000kr,4rum,"('105', '57')",993m² 
1543, 29 juli 2018,Onyxvägen 5, 2300000kr,7rum,"('5', '')",282m² 
1544, 26 juli 2018,Ametistvägen 1, 3300000kr,6rum,"('110', '90')",558m² 
1545, 18 juli 2018,Hasselvägen 5, 1850000kr,4rum,"('127', '')",1144m² 
1546, 17 juli 2018,Häradsvägen 82, 3150000kr,6rum,"('140', '64')",4235m² 
1547, 12 juli 2018,Fridhemsgatan 23, 2550000kr,5rum,"('103', '')",1093m² 
1548, 10 juli 2018,Slånbärsvägen 6, 4680000kr,5rum,"('134', '')",354m² 
1549, 9 juli 2018,Hasselvägen 1, 2400000kr,6rum,"('145', '')",2091m² 
1550, 23 mars 2023,Solhultsgatan 18, 4800000kr,6rum,"('158', '92')",1678m² 
1551, 9 mars 2023,Glöskär 950, 4225000kr,3rum,"('110', '27')",617m² 
1552, 9 mars 2023,Östergårdsgatan 25, 4700000kr,4rum,"('107', '')",612m² 
1553, 8 mars 2023,Romelandavägen 112, 3750000kr,6rum,"('153', '')",938m² 
1554, 3 mars 2023,Myrebackavägen 102, 5500000kr,3rum,"('148', '65')",1298m² 
1555, 2 mars 2023,Duvesjön 180, 4395000kr,5rum,"('28', '')",603m² 
1556, 2 mars 2023,Kungälvsvägen 22, 2700000kr,4rum,"('170', '')",1693m² 
1557, 27 februari 2023,Håltet 140, 5310000kr,6rum,"('167', '40')",2010m² 
1558, 21 februari 2023,Länsmansvägen 30, 4350000kr,5rum,"('137', '53')",574m² 
1559, 8 februari 2023,Trollhättevägen 11, 5330000kr,4rum,"('127', '125')",1632m² 
1560, 7 februari 2023,Veneröd 430, 4250000kr,6rum,"('126', '')",729m² 
1561, 4 februari 2023,Bäckgatan 16, 4350000kr,8rum,"('188', '')",1372m² 
1562, 2 februari 2023,Topasvägen 11, 4000000kr,4rum,"('110', '')",3009m² 
1563, 30 januari 2023,Mantalsgatan 17, 4000000kr,4rum,"('170', '')",1576m² 
1564, 27 januari 2023,Grindvakten 25, 3700000kr,4rum,"('73', '15')",353m² 
